customer_id,logins,invoices_created,support_tickets
C00677,85,26,8
C00678,27,133,2
C00679,65,184,4
C00680,73,161,5
C00681,3,105,9
C00682,59,137,6
C00683,98,32,6
C00684,30,77,3
C00685,95,107,0
C00686,94,156,7
C00687,16,151,9
C00688,29,88,0
C00689,70,125,0
C00690,78,197,8
C00691,74,110,9
C00692,88,62,9
C00693,24,48,2
C00694,7,66,8
C00695,49,190,9
C00696,63,111,9
C00697,46,69,0
C00698,48,184,6
C00699,25,74,4
C00700,43,116,3
C00701,55,164,4
C00702,34,36,0
C00703,65,184,9
C00704,28,7,6
C00705,41,160,1
C00706,29,129,8
C00707,32,58,4
C00708,69,20,4
C00709,34,162,2
C00710,59,51,9
C00711,61,164,1
C00712,52,154,7
C00713,63,161,8
C00714,26,1,2
C00715,77,67,7
C00716,12,50,5
C00717,22,35,8
C00718,73,163,9
C00719,56,59,3
C00720,6,77,2
C00721,36,97,6
C00722,74,13,0
C00723,59,22,2
C00724,59,56,6
C00725,96,133,6
C00726,68,81,8
C00727,52,171,9
C00728,68,183,8
C00729,77,15,6
C00730,80,109,2
C00731,51,42,2
C00732,90,137,4
C00733,97,124,8
C00734,68,71,0
C00735,26,185,0
C00736,73,138,8
C00737,41,192,6
C00738,75,169,3
C00739,5,141,0
C00740,53,144,5
C00741,38,72,8
C00742,96,60,5
C00743,93,31,4
C00744,92,55,0
C00745,53,199,8
C00746,88,162,8
C00747,56,132,0
C00748,19,183,3
C00749,65,102,0
C00750,69,90,9
C00751,87,194,3
C00752,53,106,6
C00753,19,59,7
C00754,66,41,2
C00755,48,194,2
C00756,66,175,9
C00757,73,27,4
C00758,18,79,5
C00759,80,149,2
C00760,39,112,5
C00761,73,91,9
C00762,51,113,6
C00763,23,139,5
C00764,33,87,5
C00765,60,114,1
C00766,59,22,3
C00767,98,23,0
C00768,26,65,9
C00769,17,59,4
C00770,53,89,9
C00771,78,198,2
C00772,77,114,2
C00773,86,113,3
C00774,43,28,8
C00775,48,153,5
C00776,82,1,9
C00777,20,160,7
C00778,94,29,4
C00779,35,148,5
C00780,33,46,2
C00781,81,77,6
C00782,99,185,8
C00783,76,140,8
C00784,2,167,6
C00785,34,136,2
C00786,76,156,4
C00787,90,159,9
C00788,32,143,8
C00789,21,188,8
C00790,5,39,2
C00791,28,102,4
C00792,87,80,0
C00793,48,149,6
C00794,96,110,1
C00795,69,8,9
C00796,99,42,9
C00797,70,187,5
C00798,83,79,9
C00799,40,78,5
C00800,6,148,6
C00801,14,96,2
C00802,67,61,7
C00803,11,139,4
C00804,39,32,9
C00805,41,132,3
C00806,24,157,8
C00807,43,133,8
C00808,82,76,1
C00809,95,39,0
C00810,74,23,2
C00811,26,144,9
C00812,29,50,7
C00813,2,139,3
C00814,30,72,4
C00815,74,48,4
C00816,76,34,1
C00817,84,149,0
C00818,57,63,7
C00819,59,102,9
C00820,19,17,4
C00821,54,34,1
C00822,70,179,6
C00823,23,105,1
C00824,83,67,5
C00825,95,24,8
C00826,33,150,3
C00827,66,10,4
C00828,79,5,0
C00829,11,31,0
C00830,90,152,8
C00831,18,11,4
C00832,65,51,2
C00833,32,48,1
C00834,4,78,9
C00835,86,132,6
C00836,36,136,3
C00837,93,7,2
C00838,57,119,1
C00839,33,32,9
C00840,14,86,9
C00841,48,22,3
C00842,37,115,8
C00843,5,164,9
C00844,50,29,6
C00845,61,196,0
C00846,86,86,2
C00847,69,189,4
C00848,38,121,6
C00849,46,53,4
C00850,98,72,8
C00851,15,85,6
C00852,37,15,0
C00853,27,127,5
C00854,1,176,1
C00855,29,118,5
C00856,72,182,2
C00857,97,68,1
C00858,7,69,2
C00859,29,100,9
C00860,31,192,3
C00861,38,194,0
C00862,8,178,3
C00863,95,47,5
C00864,37,196,4
C00865,59,141,4
C00866,79,142,8
C00867,54,9,8
C00868,58,156,8
C00869,96,166,6
C00870,26,12,9
C00871,48,92,8
C00872,11,13,7
C00873,23,21,7
C00874,34,183,4
C00875,33,38,8
C00876,81,52,7
C00877,97,26,6
C00878,2,22,7
C00879,61,179,8
C00880,4,72,6
C00881,12,37,8
C00882,29,173,7
C00883,42,120,1
C00884,83,86,2
C00885,57,77,5
C00886,50,165,5
C00887,66,14,6
C00888,7,18,1
C00889,57,97,0
C00890,46,135,4
C00891,22,188,1
C00892,11,186,8
C00893,33,123,2
C00894,54,55,1
C00895,20,34,6
C00896,5,127,5
C00897,68,45,7
C00898,14,3,8
C00899,3,168,2
C00900,82,76,7
C00901,58,100,3
C00902,27,53,1
C00903,4,159,3
C00904,67,23,3
C00905,64,65,7
C00906,91,183,9
C00907,92,111,7
C00908,86,79,6
C00909,42,92,3
C00910,29,140,1
C00911,80,1,0
C00912,35,11,1
C00913,19,51,1
C00914,94,113,2
C00915,79,194,9
C00916,69,45,4
C00917,31,99,0
C00918,43,72,4
C00919,95,31,6
C00920,73,85,0
C00921,77,181,3
C00922,21,173,1
C00923,95,67,7
C00924,65,41,1
C00925,77,156,0
C00926,34,190,1
C00927,61,92,9
C00928,36,130,3
C00929,80,72,4
C00930,74,65,1
C00931,41,149,3
C00932,34,143,6
C00933,25,183,4
C00934,57,136,7
C00935,65,104,9
C00936,76,86,8
C00937,22,20,0
C00938,60,77,0
C00939,54,192,2
C00940,22,90,7
C00941,61,39,0
C00942,66,135,9
C00943,45,185,1
C00944,72,159,0
C00945,97,162,0
C00946,69,88,8
C00947,64,89,9
C00948,10,51,0
C00949,67,184,3
C00950,11,97,6
C00951,94,29,4
C00952,28,63,9
C00953,5,33,4
C00954,12,45,6
C00955,44,6,5
C00956,93,37,5
C00957,90,181,7
C00958,93,2,9
C00959,29,106,8
C00960,78,57,1
C00961,36,92,9
C00962,35,96,3
C00963,8,117,9
C00964,16,179,8
C00965,43,91,9
C00966,69,167,0
C00967,16,150,9
C00968,56,79,7
C00969,41,171,0
C00970,77,38,3
C00971,8,192,8
C00972,54,37,3
C00973,90,100,4
C00974,5,38,8
C00975,9,71,7
C00976,66,31,0
C00977,71,44,2
C00978,30,94,3
C00979,81,14,2
C00980,95,98,8
C00981,65,52,5
C00982,92,87,2
C00983,30,195,7
C00984,47,133,8
C00985,95,42,9
C00986,88,94,3
C00987,31,7,4
C00988,60,18,2
C00989,75,185,4
C00990,80,44,1
C00991,9,98,1
C00992,94,189,4
C00993,76,63,6
C00994,54,160,0
C00995,61,95,2
C00996,64,156,0
C00997,80,132,7
C00998,97,143,1
C00999,6,2,5
C01000,45,124,5
C01001,65,151,8
C01002,77,187,5
C01003,37,23,9
C01004,99,91,5
C01005,90,26,0
C01006,73,162,6
C01007,17,141,5
C01008,99,168,7
C01009,25,116,0
C01010,50,179,7
C01011,71,10,7
C01012,31,167,0
C01013,32,90,6
C01014,48,132,6
C01015,83,82,6
C01016,17,99,2
C01017,61,111,2
C01018,57,180,7
C01019,57,184,7
C01020,70,155,7
C01021,89,8,2
C01022,33,181,3
C01023,19,111,1
C01024,15,13,2
C01025,35,174,4
C01026,49,86,2
C01027,96,36,3
C01028,36,171,6
C01029,96,94,2
C01030,96,163,0
C01031,54,179,0
C01032,36,63,3
C01033,53,109,0
C01034,60,68,5
C01035,98,141,3
C01036,74,175,4
C01037,44,134,5
C01038,33,146,1
C01039,44,118,0
C01040,55,8,9
C01041,74,169,1
C01042,44,61,5
C01043,51,148,9
C01044,99,56,8
C01045,86,122,7
C01046,51,96,9
C01047,87,130,0
C01048,7,194,4
C01049,85,105,6
C01050,1,160,7
C01051,13,123,6
C01052,73,22,0
C01053,48,41,3
C01054,84,109,3
C01055,47,138,8
C01056,47,167,5
C01057,10,45,5
C01058,26,5,4
C01059,50,12,4
C01060,47,32,8
C01061,44,120,1
C01062,1,168,9
C01063,63,18,4
C01064,17,64,0
C01065,17,87,4
C01066,39,129,3
C01067,43,117,3
C01068,76,181,3
C01069,41,170,2
C01070,15,82,5
C01071,1,94,2
C01072,58,166,5
C01073,54,145,5
C01074,96,190,9
C01075,75,28,1
C01076,5,22,8
C01077,62,46,9
C01078,82,38,7
C01079,82,32,6
C01080,87,55,8
C01081,71,89,7
C01082,46,112,8
C01083,90,137,7
C01084,65,178,2
C01085,28,37,9
C01086,84,65,0
C01087,41,93,5
C01088,23,79,2
C01089,32,172,2
C01090,58,60,5
C01091,39,157,9
C01092,82,85,8
C01093,33,63,4
C01094,58,76,0
C01095,89,26,9
C01096,32,45,6
C01097,50,95,8
C01098,51,35,9
C01099,92,78,1
C01100,77,119,8
C01101,19,7,4
C01102,3,195,0
C01103,91,53,3
C01104,17,41,7
C01105,43,4,2
C01106,29,2,4
C01107,44,35,1
C01108,52,161,4
C01109,97,105,8
C01110,28,178,2
C01111,84,141,6
C01112,34,115,5
C01113,80,115,1
C01114,54,7,6
C01115,2,124,9
C01116,92,39,3
C01117,17,111,5
C01118,84,91,6
C01119,18,49,8
C01120,28,131,6
C01121,28,17,2
C01122,52,153,8
C01123,16,126,5
C01124,33,142,3
C01125,85,5,9
C01126,5,199,4
C01127,45,83,9
C01128,37,161,0
C01129,82,51,3
C01130,52,122,2
C01131,64,17,5
C01132,62,126,8
C01133,5,61,2
C01134,11,91,4
C01135,86,31,1
C01136,87,15,8
C01137,90,104,7
C01138,91,40,9
C01139,3,65,3
C01140,51,20,7
C01141,60,162,9
C01142,66,65,3
C01143,57,32,1
C01144,17,150,8
C01145,3,62,1
C01146,3,173,0
C01147,40,11,0
C01148,80,161,2
C01149,76,38,9
C01150,63,65,6
C01151,51,191,5
C01152,1,38,2
C01153,51,13,4
C01154,4,176,9
C01155,81,24,5
C01156,83,36,9
C01157,4,148,1
C01158,47,43,2
C01159,39,109,3
C01160,84,185,7
C01161,49,193,0
C01162,57,188,8
C01163,39,99,0
C01164,68,43,2
C01165,17,84,2
C01166,15,104,8
C01167,28,193,2
C01168,16,115,2
C01169,6,46,1
C01170,92,62,3
C01171,32,114,7
C01172,81,198,5
C01173,25,105,0
C01174,39,154,4
C01175,17,29,9
C01176,46,169,7
C01177,79,15,0
C01178,53,122,5
C01179,51,101,6
C01180,18,19,4
C01181,20,120,3
C01182,87,187,6
C01183,5,81,8
C01184,62,96,3
C01185,12,28,2
C01186,81,143,9
C01187,30,186,3
C01188,83,53,4
C01189,96,42,8
C01190,16,156,0
C01191,2,73,8
C01192,76,91,8
C01193,3,19,7
C01194,8,199,9
C01195,37,77,7
C01196,53,130,7
C01197,55,146,3
C01198,88,168,6
C01199,49,181,1
C01200,89,136,2
C01201,59,137,7
C01202,60,116,3
C01203,89,149,9
C01204,78,92,5
C01205,46,44,7
C01206,63,60,7
C01207,79,71,4
C01208,32,159,6
C01209,66,117,0
C01210,85,126,4
C01211,4,141,2
C01212,29,45,3
C01213,49,2,0
C01214,93,162,0
C01215,23,197,2
C01216,3,194,3
C01217,54,62,2
C01218,21,47,1
C01219,80,2,6
C01220,44,37,9
C01221,20,80,8
C01222,99,119,2
C01223,57,86,8
C01224,69,63,7
C01225,90,56,4
C01226,71,174,5
C01227,52,63,0
C01228,80,8,5
C01229,17,183,8
C01230,66,117,6
C01231,12,171,8
C01232,58,90,4
C01233,77,104,4
C01234,5,23,4
C01235,80,144,5
C01236,92,85,3
C01237,72,128,9
C01238,56,104,8
C01239,92,180,6
C01240,46,93,2
C01241,72,182,9
C01242,93,37,6
C01243,18,195,2
C01244,44,146,2
C01245,43,59,3
C01246,80,129,1
C01247,90,147,7
C01248,86,141,0
C01249,79,33,9
C01250,77,22,0
C01251,22,155,0
C01252,60,178,3
C01253,85,115,0
C01254,63,72,2
C01255,24,181,6
C01256,65,188,2
C01257,29,50,1
C01258,1,66,9
C01259,1,83,5
C01260,73,24,7
C01261,21,69,3
C01262,78,8,3
C01263,28,148,1
C01264,18,99,4
C01265,97,66,9
C01266,52,198,7
C01267,66,59,0
C01268,98,47,1
C01269,88,164,0
C01270,62,130,3
C01271,19,192,6
C01272,2,166,2
C01273,70,116,7
C01274,55,26,5
C01275,79,148,1
C01276,57,93,8
C01277,11,122,8
C01278,16,4,6
C01279,85,65,9
C01280,62,142,7
C01281,27,35,9
C01282,22,117,0
C01283,3,85,5
C01284,3,52,8
C01285,21,23,5
C01286,43,110,2
C01287,70,20,1
C01288,89,90,7
C01289,37,27,3
C01290,94,169,0
C01291,56,164,7
C01292,39,132,0
C01293,20,26,1
C01294,65,108,0
C01295,35,40,7
C01296,43,107,2
C01297,90,84,8
C01298,21,88,6
C01299,10,194,5
C01300,45,73,5
C01301,93,82,9
C01302,3,106,0
C01303,43,94,7
C01304,52,3,9
C01305,41,192,2
C01306,41,29,2
C01307,77,182,2
C01308,9,7,8
C01309,46,153,4
C01310,16,152,1
C01311,47,43,3
C01312,28,6,6
C01313,28,143,9
C01314,75,79,0
C01315,94,40,1
C01316,11,189,7
C01317,29,123,7
C01318,56,21,2
C01319,76,58,4
C01320,72,109,7
C01321,57,96,9
C01322,53,32,8
C01323,74,12,1
C01324,59,137,9
C01325,35,20,7
C01326,52,143,2
C01327,36,136,8
C01328,77,21,4
C01329,58,45,4
C01330,91,121,3
C01331,2,40,7
C01332,28,94,0
C01333,98,95,5
C01334,85,6,6
C01335,70,11,7
C01336,63,64,3
C01337,52,170,8
C01338,60,122,2
C01339,90,187,7
C01340,36,136,9
C01341,82,55,9
C01342,62,126,4
C01343,43,39,4
C01344,39,179,6
C01345,5,55,4
C01346,90,76,6
C01347,75,131,8
C01348,50,171,4
C01349,16,173,1
C01350,83,80,9
C01351,52,128,5
C01352,69,16,8
C01353,71,5,8
C01354,3,40,4
C01355,89,67,1
C01356,10,173,5
C01357,51,131,3
C01358,69,159,3
C01359,32,24,2
C01360,96,29,0
C01361,5,126,8
C01362,43,183,5
C01363,83,33,9
C01364,12,179,2
C01365,31,80,0
C01366,81,97,5
C01367,22,30,3
C01368,59,61,0
C01369,52,188,9
C01370,47,163,3
C01371,86,7,1
C01372,49,134,2
C01373,56,143,9
C01374,90,96,9
C01375,31,66,6
C01376,59,85,6
C01377,70,17,4
C01378,76,19,9
C01379,43,14,1
C01380,91,49,8
C01381,81,51,8
C01382,74,34,8
C01383,5,84,5
C01384,4,149,0
C01385,15,176,5
C01386,2,67,7
C01387,49,58,3
C01388,56,78,5
C01389,8,149,7
C01390,16,27,5
C01391,64,199,3
C01392,84,157,6
C01393,24,137,4
C01394,99,172,0
C01395,55,156,2
