customer_id,revenue,cost,profit
C00241,20,6,14
C00242,120,57,63
C00243,20,59,-39
C00244,20,49,-29
C00245,20,41,-21
C00246,20,31,-11
C00247,50,56,-6
C00248,50,51,-1
C00249,20,62,-42
C00250,120,11,109
C00251,50,17,33
C00252,20,52,-32
C00253,50,32,18
C00254,20,49,-29
C00255,50,60,-10
C00256,20,39,-19
C00257,50,59,-9
C00258,50,41,9
C00259,120,13,107
C00260,50,7,43
C00261,120,6,114
C00262,50,62,-12
C00263,20,26,-6
C00264,120,28,92
C00265,50,58,-8
C00266,120,21,99
C00267,20,62,-42
C00268,20,62,-42
C00269,20,25,-5
C00270,20,67,-47
C00271,20,67,-47
C00272,120,48,72
C00273,120,44,76
C00274,50,79,-29
C00275,50,70,-20
C00276,20,71,-51
C00277,20,50,-30
C00278,120,28,92
C00279,20,76,-56
C00280,20,74,-54
C00281,20,55,-35
C00282,50,8,42
C00283,120,35,85
C00284,50,69,-19
C00285,20,34,-14
C00286,20,76,-56
C00287,50,44,6
C00288,50,18,32
C00289,120,48,72
C00290,20,38,-18
C00291,20,43,-23
C00292,50,8,42
C00293,120,31,89
C00294,120,46,74
C00295,20,15,5
C00296,20,36,-16
C00297,50,54,-4
C00298,20,57,-37
C00299,50,8,42
C00300,20,23,-3
C00301,20,75,-55
C00302,20,37,-17
C00303,120,74,46
C00304,20,59,-39
C00305,20,13,7
C00306,120,66,54
C00307,120,66,54
C00308,20,52,-32
C00309,120,72,48
C00310,120,52,68
C00311,120,31,89
C00312,120,59,61
C00313,50,48,2
C00314,20,75,-55
C00315,50,56,-6
C00316,20,61,-41
C00317,120,13,107
C00318,50,12,38
C00319,120,60,60
C00320,120,14,106
C00321,120,69,51
C00322,20,76,-56
C00323,120,49,71
C00324,20,43,-23
C00325,20,50,-30
C00326,120,21,99
C00327,20,71,-51
C00328,50,66,-16
C00329,20,72,-52
C00330,120,40,80
C00331,120,13,107
C00332,50,39,11
C00333,50,71,-21
C00334,20,56,-36
C00335,20,32,-12
C00336,50,62,-12
C00337,120,28,92
C00338,120,63,57
C00339,50,41,9
C00340,50,42,8
C00341,120,29,91
C00342,120,19,101
C00343,20,20,0
C00344,50,59,-9
C00345,50,8,42
C00346,50,30,20
C00347,120,43,77
C00348,20,61,-41
C00349,120,51,69
C00350,50,52,-2
C00351,50,53,-3
C00352,50,41,9
C00353,50,42,8
C00354,50,66,-16
C00355,120,65,55
C00356,20,78,-58
C00357,50,12,38
C00358,50,42,8
C00359,50,40,10
C00360,120,60,60
C00361,120,49,71
C00362,50,54,-4
C00363,50,24,26
C00364,50,67,-17
C00365,50,59,-9
C00366,50,38,12
C00367,120,36,84
C00368,50,77,-27
C00369,50,47,3
C00370,50,17,33
C00371,120,6,114
C00372,50,65,-15
C00373,120,18,102
C00374,20,46,-26
C00375,120,19,101
C00376,50,14,36
C00377,120,60,60
C00378,50,57,-7
C00379,120,62,58
C00380,120,66,54
C00381,20,61,-41
C00382,120,67,53
C00383,20,8,12
C00384,20,38,-18
C00385,120,36,84
C00386,120,38,82
C00387,120,74,46
C00388,20,44,-24
C00389,50,39,11
C00390,50,19,31
C00391,20,55,-35
C00392,20,24,-4
C00393,120,41,79
C00394,120,42,78
C00395,50,25,25
C00396,50,14,36
C00397,50,58,-8
C00398,120,13,107
C00399,120,46,74
C00400,20,20,0
C00401,120,28,92
C00402,50,8,42
C00403,20,48,-28
C00404,120,27,93
C00405,50,46,4
C00406,120,70,50
C00407,20,23,-3
C00408,120,24,96
C00409,50,32,18
C00410,20,28,-8
C00411,50,6,44
C00412,20,11,9
C00413,120,5,115
C00414,120,15,105
C00415,50,55,-5
C00416,120,64,56
C00417,20,35,-15
C00418,120,34,86
C00419,120,28,92
C00420,120,22,98
C00421,120,62,58
C00422,120,21,99
C00423,120,50,70
C00424,120,23,97
C00425,120,16,104
C00426,50,16,34
C00427,50,54,-4
C00428,120,70,50
C00429,50,24,26
C00430,120,10,110
C00431,120,5,115
C00432,120,11,109
C00433,50,59,-9
C00434,20,78,-58
C00435,120,19,101
C00436,120,28,92
C00437,20,33,-13
C00438,50,75,-25
C00439,20,38,-18
C00440,120,41,79
C00441,20,46,-26
C00442,120,68,52
C00443,50,23,27
C00444,50,27,23
C00445,50,75,-25
C00446,120,10,110
C00447,50,59,-9
C00448,20,43,-23
C00449,50,29,21
C00450,120,8,112
C00451,20,37,-17
C00452,20,70,-50
C00453,20,6,14
C00454,20,18,2
C00455,120,54,66
C00456,50,15,35
C00457,20,38,-18
C00458,50,42,8
C00459,50,43,7
C00460,50,26,24
C00461,50,46,4
C00462,120,61,59
C00463,20,42,-22
C00464,20,13,7
C00465,50,33,17
C00466,20,73,-53
C00467,50,46,4
C00468,120,64,56
C00469,20,43,-23
C00470,50,76,-26
C00471,20,64,-44
C00472,50,57,-7
C00473,20,12,8
C00474,120,25,95
C00475,20,60,-40
C00476,120,52,68
C00477,120,51,69
C00478,50,13,37
C00479,50,5,45
C00480,20,59,-39
C00481,120,35,85
C00482,50,15,35
C00483,120,70,50
C00484,120,64,56
C00485,120,35,85
C00486,20,54,-34
C00487,120,64,56
C00488,120,66,54
C00489,20,43,-23
C00490,20,7,13
C00491,50,62,-12
C00492,120,72,48
C00493,120,34,86
C00494,20,71,-51
C00495,20,72,-52
C00496,50,62,-12
C00497,20,57,-37
C00498,20,18,2
C00499,20,14,6
C00500,20,26,-6
C00501,50,67,-17
C00502,120,65,55
C00503,120,50,70
C00504,120,41,79
C00505,120,25,95
C00506,120,7,113
C00507,20,23,-3
C00508,120,36,84
C00509,20,28,-8
C00510,120,77,43
C00511,120,78,42
C00512,20,52,-32
C00513,120,62,58
C00514,20,44,-24
C00515,50,11,39
C00516,50,50,0
C00517,50,19,31
C00518,120,78,42
C00519,120,9,111
C00520,120,63,57
C00521,120,74,46
C00522,20,26,-6
C00523,50,32,18
C00524,20,58,-38
C00525,50,23,27
C00526,50,18,32
C00527,20,52,-32
C00528,20,11,9
C00529,20,36,-16
C00530,50,26,24
C00531,20,50,-30
C00532,120,17,103
C00533,20,26,-6
C00534,50,14,36
C00535,50,48,2
C00536,20,28,-8
C00537,20,63,-43
C00538,50,66,-16
C00539,50,76,-26
C00540,20,76,-56
C00541,120,59,61
C00542,120,53,67
C00543,120,54,66
C00544,50,23,27
C00545,120,62,58
C00546,120,52,68
C00547,20,76,-56
C00548,20,16,4
C00549,120,24,96
C00550,50,49,1
C00551,120,30,90
C00552,20,35,-15
C00553,20,63,-43
C00554,20,7,13
C00555,120,22,98
C00556,50,25,25
C00557,120,61,59
C00558,20,46,-26
C00559,20,66,-46
C00560,20,34,-14
C00561,20,65,-45
C00562,120,40,80
C00563,120,59,61
C00564,50,8,42
C00565,20,19,1
C00566,120,75,45
C00567,120,61,59
C00568,20,67,-47
C00569,120,68,52
C00570,20,21,-1
C00571,50,57,-7
C00572,20,44,-24
C00573,20,74,-54
C00574,120,54,66
C00575,50,72,-22
C00576,50,19,31
C00577,120,76,44
C00578,50,38,12
C00579,50,34,16
C00580,20,77,-57
C00581,120,28,92
C00582,50,12,38
C00583,50,61,-11
C00584,50,74,-24
C00585,20,29,-9
C00586,20,38,-18
C00587,120,29,91
C00588,120,22,98
C00589,20,77,-57
C00590,120,74,46
C00591,120,18,102
C00592,120,10,110
C00593,20,40,-20
C00594,20,40,-20
C00595,50,79,-29
C00596,50,22,28
C00597,50,19,31
C00598,50,20,30
C00599,120,18,102
C00600,120,51,69
C00601,20,58,-38
C00602,120,62,58
C00603,120,34,86
C00604,120,50,70
C00605,50,20,30
C00606,20,5,15
C00607,50,45,5
C00608,120,31,89
C00609,120,66,54
C00610,20,32,-12
C00611,50,24,26
C00612,120,59,61
C00613,20,55,-35
C00614,120,73,47
C00615,120,77,43
C00616,20,38,-18
C00617,20,31,-11
C00618,120,42,78
C00619,20,33,-13
C00620,120,39,81
C00621,50,24,26
C00622,120,23,97
C00623,20,9,11
C00624,50,29,21
C00625,20,30,-10
C00626,120,55,65
C00627,20,70,-50
C00628,120,65,55
C00629,20,19,1
C00630,20,49,-29
C00631,120,10,110
C00632,50,62,-12
C00633,120,5,115
C00634,50,77,-27
C00635,50,47,3
C00636,50,20,30
C00637,50,18,32
C00638,120,78,42
C00639,120,23,97
C00640,50,55,-5
C00641,50,12,38
C00642,50,52,-2
C00643,50,16,34
C00644,50,74,-24
C00645,50,39,11
C00646,20,74,-54
C00647,50,10,40
C00648,20,15,5
C00649,120,42,78
C00650,120,30,90
C00651,50,32,18
C00652,120,76,44
C00653,120,54,66
C00654,50,62,-12
C00655,120,30,90
C00656,120,48,72
C00657,50,19,31
C00658,50,28,22
C00659,50,63,-13
C00660,20,61,-41
C00661,50,21,29
C00662,120,5,115
C00663,50,15,35
C00664,20,24,-4
C00665,120,35,85
C00666,20,43,-23
C00667,120,67,53
C00668,50,10,40
C00669,20,32,-12
C00670,50,55,-5
C00671,120,57,63
C00672,50,48,2
C00673,50,69,-19
C00674,120,16,104
C00675,20,32,-12
C00676,120,76,44
C00677,120,72,48
C00678,50,34,16
C00679,120,39,81
C00680,20,10,10
C00681,120,34,86
C00682,120,67,53
C00683,50,12,38
C00684,20,37,-17
C00685,50,47,3
C00686,50,47,3
C00687,20,49,-29
C00688,20,58,-38
C00689,120,69,51
C00690,20,11,9
C00691,50,40,10
C00692,20,29,-9
C00693,20,41,-21
C00694,20,16,4
C00695,50,36,14
C00696,120,53,67
C00697,120,42,78
C00698,50,60,-10
C00699,120,69,51
C00700,120,30,90
C00701,50,61,-11
C00702,50,18,32
C00703,120,60,60
C00704,20,74,-54
C00705,120,45,75
C00706,20,55,-35
C00707,50,71,-21
C00708,20,16,4
C00709,20,53,-33
C00710,20,5,15
C00711,50,23,27
C00712,120,70,50
C00713,120,62,58
C00714,20,76,-56
C00715,120,8,112
C00716,50,12,38
C00717,50,31,19
C00718,50,30,20
C00719,50,47,3
C00720,120,44,76
C00721,20,54,-34
C00722,20,71,-51
C00723,20,77,-57
C00724,50,78,-28
C00725,120,33,87
C00726,120,46,74
C00727,120,22,98
C00728,120,25,95
C00729,120,71,49
C00730,120,66,54
C00731,20,31,-11
C00732,50,51,-1
C00733,20,30,-10
C00734,120,13,107
C00735,50,16,34
C00736,50,20,30
C00737,50,51,-1
C00738,50,60,-10
C00739,120,70,50
C00740,120,55,65
C00741,50,31,19
C00742,120,77,43
C00743,50,70,-20
C00744,120,66,54
C00745,50,75,-25
C00746,120,12,108
C00747,20,42,-22
C00748,20,10,10
C00749,120,63,57
C00750,120,23,97
C00751,20,60,-40
C00752,120,32,88
C00753,50,14,36
C00754,120,49,71
C00755,120,69,51
C00756,20,54,-34
C00757,20,36,-16
C00758,120,65,55
C00759,50,20,30
C00760,120,10,110
C00761,50,70,-20
C00762,50,66,-16
C00763,120,70,50
C00764,50,71,-21
C00765,20,23,-3
C00766,50,8,42
C00767,50,47,3
C00768,50,22,28
C00769,20,50,-30
C00770,20,50,-30
C00771,120,25,95
C00772,50,34,16
C00773,20,68,-48
C00774,50,45,5
C00775,50,21,29
C00776,120,9,111
C00777,50,9,41
C00778,20,77,-57
C00779,120,79,41
C00780,120,52,68
C00781,50,42,8
C00782,50,10,40
C00783,20,62,-42
C00784,50,18,32
C00785,20,76,-56
C00786,50,63,-13
C00787,20,69,-49
C00788,50,17,33
C00789,120,31,89
C00790,20,29,-9
C00791,120,60,60
C00792,120,72,48
C00793,120,63,57
C00794,120,53,67
C00795,20,22,-2
C00796,50,79,-29
C00797,120,7,113
C00798,50,61,-11
C00799,20,10,10
C00800,50,73,-23
C00801,20,35,-15
C00802,50,12,38
C00803,20,14,6
C00804,20,7,13
C00805,50,16,34
C00806,120,23,97
C00807,120,25,95
C00808,50,18,32
C00809,120,79,41
C00810,120,33,87
C00811,20,11,9
C00812,50,53,-3
C00813,120,69,51
C00814,120,11,109
C00815,120,18,102
C00816,50,20,30
C00817,120,20,100
C00818,120,17,103
C00819,120,33,87
C00820,20,77,-57
C00821,50,65,-15
C00822,120,41,79
C00823,20,21,-1
C00824,50,35,15
C00825,20,63,-43
C00826,20,51,-31
C00827,50,10,40
C00828,120,36,84
C00829,120,35,85
C00830,20,22,-2
C00831,50,13,37
C00832,50,7,43
C00833,120,75,45
C00834,20,30,-10
C00835,120,17,103
C00836,50,38,12
C00837,50,47,3
C00838,120,37,83
C00839,120,73,47
C00840,50,40,10
C00841,20,78,-58
C00842,50,72,-22
C00843,20,51,-31
C00844,120,65,55
C00845,120,49,71
C00846,20,52,-32
C00847,50,45,5
C00848,50,42,8
C00849,20,72,-52
C00850,20,79,-59
C00851,20,15,5
C00852,20,20,0
C00853,50,69,-19
C00854,120,75,45
C00855,50,71,-21
C00856,20,75,-55
C00857,50,5,45
C00858,20,75,-55
C00859,20,8,12
C00860,20,41,-21
C00861,20,18,2
C00862,50,29,21
C00863,20,8,12
C00864,50,70,-20
C00865,50,47,3
C00866,120,30,90
C00867,50,19,31
C00868,120,10,110
C00869,120,41,79
C00870,120,47,73
C00871,50,46,4
C00872,120,17,103
C00873,20,20,0
C00874,50,46,4
C00875,20,42,-22
C00876,50,70,-20
C00877,120,69,51
C00878,120,9,111
C00879,50,34,16
C00880,120,47,73
C00881,20,36,-16
C00882,20,71,-51
C00883,120,71,49
C00884,50,46,4
C00885,50,9,41
C00886,20,63,-43
C00887,120,27,93
C00888,120,12,108
C00889,20,72,-52
C00890,50,74,-24
C00891,120,23,97
C00892,50,48,2
C00893,50,42,8
C00894,20,48,-28
C00895,50,10,40
C00896,20,7,13
C00897,120,37,83
C00898,50,70,-20
C00899,20,62,-42
C00900,20,30,-10
C00901,50,32,18
C00902,20,47,-27
C00903,120,79,41
C00904,50,20,30
C00905,120,27,93
C00906,20,63,-43
C00907,120,39,81
C00908,20,45,-25
C00909,20,26,-6
C00910,120,78,42
C00911,50,5,45
C00912,50,50,0
C00913,50,26,24
C00914,120,36,84
C00915,120,34,86
C00916,120,47,73
C00917,120,16,104
C00918,50,75,-25
C00919,50,31,19
C00920,20,30,-10
C00921,120,22,98
C00922,50,79,-29
C00923,50,70,-20
C00924,50,65,-15
C00925,50,50,0
C00926,50,33,17
C00927,50,36,14
C00928,120,19,101
C00929,20,64,-44
C00930,20,32,-12
C00931,120,31,89
C00932,50,45,5
C00933,120,51,69
C00934,50,37,13
C00935,50,48,2
C00936,50,54,-4
C00937,50,14,36
C00938,50,28,22
C00939,120,38,82
C00940,120,24,96
C00941,20,29,-9
C00942,50,59,-9
C00943,120,47,73
C00944,120,57,63
C00945,50,54,-4
C00946,50,59,-9
C00947,120,17,103
C00948,50,53,-3
C00949,120,14,106
C00950,20,15,5
C00951,50,24,26
C00952,20,76,-56
C00953,20,52,-32
C00954,20,21,-1
C00955,50,37,13
C00956,20,24,-4
C00957,120,50,70
C00958,120,35,85
C00959,50,55,-5
C00960,50,23,27
C00961,20,66,-46
C00962,50,48,2
C00963,120,42,78
C00964,120,53,67
C00965,120,69,51
C00966,50,15,35
C00967,120,31,89
C00968,50,62,-12
C00969,20,68,-48
C00970,120,69,51
C00971,20,19,1
C00972,120,5,115
C00973,120,23,97
C00974,120,60,60
C00975,20,68,-48
C00976,120,38,82
C00977,20,68,-48
C00978,50,14,36
C00979,120,64,56
C00980,120,43,77
C00981,20,70,-50
C00982,120,36,84
C00983,50,55,-5
C00984,120,30,90
C00985,50,61,-11
C00986,50,64,-14
C00987,120,59,61
C00988,120,10,110
C00989,50,11,39
C00990,50,70,-20
C00991,50,30,20
C00992,120,9,111
C00993,20,5,15
C00994,120,6,114
C00995,20,69,-49
C00996,20,14,6
C00997,120,54,66
C00998,20,55,-35
C00999,50,73,-23
C01000,120,45,75
C01001,20,62,-42
C01002,50,72,-22
C01003,20,28,-8
C01004,20,60,-40
C01005,50,40,10
C01006,50,6,44
C01007,120,60,60
C01008,20,16,4
C01009,120,16,104
C01010,120,76,44
C01011,20,26,-6
C01012,20,78,-58
C01013,120,66,54
C01014,50,68,-18
C01015,120,32,88
C01016,20,32,-12
C01017,50,8,42
C01018,120,49,71
C01019,20,17,3
C01020,50,8,42
C01021,50,65,-15
C01022,50,30,20
C01023,20,10,10
C01024,120,60,60
C01025,20,31,-11
C01026,20,39,-19
C01027,50,62,-12
C01028,120,67,53
C01029,50,37,13
C01030,20,37,-17
C01031,50,73,-23
C01032,20,44,-24
C01033,20,51,-31
C01034,20,49,-29
C01035,50,31,19
C01036,120,11,109
C01037,50,62,-12
C01038,20,18,2
C01039,50,8,42
C01040,20,38,-18
C01041,120,42,78
C01042,120,24,96
C01043,20,50,-30
C01044,120,23,97
C01045,20,5,15
C01046,50,27,23
C01047,50,66,-16
C01048,120,77,43
C01049,120,32,88
C01050,20,37,-17
C01051,120,7,113
C01052,120,20,100
C01053,120,34,86
C01054,20,29,-9
C01055,50,5,45
C01056,20,37,-17
C01057,20,41,-21
C01058,120,33,87
C01059,50,41,9
C01060,20,65,-45
C01061,120,12,108
C01062,20,5,15
C01063,120,67,53
C01064,50,69,-19
C01065,50,50,0
C01066,120,47,73
C01067,20,14,6
C01068,20,14,6
C01069,50,66,-16
C01070,20,55,-35
C01071,120,49,71
C01072,120,77,43
C01073,120,77,43
C01074,50,49,1
C01075,50,62,-12
C01076,50,70,-20
C01077,120,28,92
C01078,50,79,-29
C01079,120,69,51
C01080,20,59,-39
C01081,50,55,-5
C01082,20,76,-56
C01083,20,77,-57
C01084,50,25,25
C01085,50,51,-1
C01086,20,26,-6
C01087,20,33,-13
C01088,20,44,-24
C01089,120,7,113
C01090,20,53,-33
C01091,120,29,91
C01092,50,15,35
C01093,20,79,-59
C01094,50,52,-2
C01095,20,36,-16
C01096,50,7,43
C01097,20,49,-29
C01098,120,24,96
C01099,50,24,26
C01100,50,55,-5
C01101,20,24,-4
C01102,120,18,102
C01103,120,36,84
C01104,120,76,44
C01105,20,46,-26
C01106,50,43,7
C01107,20,42,-22
C01108,120,68,52
C01109,120,8,112
C01110,50,67,-17
C01111,20,65,-45
C01112,20,9,11
C01113,120,70,50
C01114,50,49,1
C01115,50,54,-4
C01116,120,7,113
C01117,20,27,-7
C01118,20,15,5
C01119,50,42,8
C01120,50,60,-10
C01121,120,39,81
C01122,50,69,-19
C01123,20,10,10
C01124,20,74,-54
C01125,50,44,6
C01126,120,39,81
C01127,20,17,3
C01128,20,29,-9
C01129,120,71,49
C01130,50,72,-22
C01131,20,51,-31
C01132,20,59,-39
C01133,120,47,73
C01134,50,6,44
C01135,120,49,71
C01136,120,52,68
C01137,50,66,-16
C01138,20,42,-22
C01139,120,51,69
C01140,20,8,12
C01141,20,64,-44
C01142,20,53,-33
C01143,20,38,-18
C01144,120,48,72
C01145,50,60,-10
C01146,20,46,-26
C01147,20,54,-34
C01148,20,73,-53
C01149,50,37,13
C01150,20,71,-51
C01151,50,46,4
C01152,120,48,72
C01153,50,72,-22
C01154,20,61,-41
C01155,120,40,80
C01156,50,45,5
C01157,20,60,-40
C01158,120,7,113
C01159,120,60,60
C01160,50,60,-10
C01161,20,69,-49
C01162,50,43,7
C01163,120,44,76
C01164,120,43,77
C01165,20,31,-11
C01166,120,71,49
C01167,20,69,-49
C01168,50,78,-28
C01169,120,7,113
C01170,120,7,113
C01171,20,41,-21
C01172,20,24,-4
C01173,50,15,35
C01174,20,28,-8
C01175,120,74,46
C01176,50,69,-19
C01177,50,78,-28
C01178,50,36,14
C01179,20,66,-46
C01180,20,59,-39
C01181,120,40,80
C01182,50,70,-20
C01183,50,41,9
C01184,50,18,32
C01185,120,50,70
C01186,20,60,-40
C01187,50,54,-4
C01188,20,65,-45
C01189,20,21,-1
C01190,20,31,-11
C01191,20,58,-38
C01192,20,33,-13
C01193,120,17,103
C01194,20,53,-33
C01195,50,29,21
C01196,50,27,23
C01197,50,30,20
C01198,120,52,68
C01199,20,40,-20
C01200,50,10,40
C01201,50,78,-28
C01202,50,43,7
C01203,20,61,-41
C01204,50,70,-20
C01205,20,14,6
C01206,50,76,-26
C01207,50,13,37
C01208,20,76,-56
C01209,50,31,19
C01210,120,50,70
C01211,20,67,-47
C01212,50,46,4
C01213,120,45,75
C01214,120,38,82
C01215,20,34,-14
C01216,50,48,2
C01217,20,5,15
C01218,120,49,71
C01219,120,51,69
C01220,20,34,-14
C01221,20,26,-6
C01222,50,19,31
C01223,120,42,78
C01224,20,27,-7
C01225,120,35,85
C01226,20,61,-41
C01227,50,39,11
C01228,120,70,50
C01229,50,57,-7
C01230,50,35,15
C01231,120,30,90
C01232,20,35,-15
C01233,50,76,-26
C01234,50,16,34
C01235,120,57,63
C01236,120,60,60
C01237,120,66,54
C01238,50,48,2
C01239,20,62,-42
C01240,20,69,-49
C01241,120,17,103
C01242,50,65,-15
C01243,50,72,-22
C01244,50,55,-5
C01245,120,66,54
C01246,50,52,-2
C01247,50,67,-17
C01248,20,76,-56
C01249,120,76,44
C01250,120,55,65
C01251,120,28,92
C01252,50,44,6
C01253,50,33,17
C01254,20,77,-57
C01255,120,21,99
C01256,50,5,45
C01257,20,5,15
C01258,50,29,21
C01259,50,45,5
C01260,120,27,93
C01261,120,22,98
C01262,50,32,18
C01263,50,16,34
C01264,50,53,-3
C01265,50,20,30
C01266,50,31,19
C01267,120,57,63
C01268,120,40,80
C01269,50,11,39
C01270,50,38,12
C01271,120,69,51
C01272,50,8,42
C01273,120,30,90
C01274,120,24,96
C01275,120,55,65
C01276,120,14,106
C01277,20,12,8
C01278,50,22,28
C01279,50,21,29
C01280,50,73,-23
C01281,120,34,86
C01282,120,43,77
C01283,120,65,55
C01284,50,28,22
C01285,120,39,81
C01286,20,65,-45
C01287,50,79,-29
C01288,20,76,-56
C01289,20,19,1
C01290,50,40,10
C01291,20,59,-39
C01292,20,41,-21
C01293,120,66,54
C01294,20,68,-48
C01295,120,43,77
C01296,20,79,-59
C01297,50,16,34
C01298,50,76,-26
C01299,50,12,38
C01300,50,45,5
C01301,120,73,47
C01302,20,78,-58
C01303,20,7,13
C01304,50,47,3
C01305,120,41,79
C01306,120,61,59
C01307,50,29,21
C01308,20,8,12
C01309,50,62,-12
C01310,20,41,-21
C01311,50,12,38
C01312,20,13,7
C01313,120,5,115
C01314,50,17,33
C01315,20,72,-52
C01316,20,20,0
C01317,20,48,-28
C01318,20,69,-49
C01319,120,18,102
C01320,20,30,-10
C01321,120,36,84
C01322,20,6,14
C01323,120,20,100
C01324,120,53,67
C01325,20,79,-59
C01326,120,27,93
C01327,50,64,-14
C01328,20,70,-50
C01329,50,24,26
C01330,120,78,42
C01331,120,22,98
C01332,50,63,-13
C01333,20,35,-15
C01334,50,8,42
C01335,120,31,89
C01336,20,22,-2
C01337,50,67,-17
C01338,50,75,-25
C01339,20,23,-3
C01340,50,43,7
C01341,20,70,-50
C01342,20,50,-30
C01343,50,42,8
C01344,20,71,-51
