customer_id,country,industry,signup_date,company_size
C00049,Germany,Tech,2023-01-11,Medium
C00050,Germany,Finance,2024-03-16,Small
C00051,Germany,Finance,2024-07-09,Small
C00052,Germany,Healthcare,2024-05-24,Small
C00053,Canada,Retail,2023-06-17,Small
C00054,UK,Tech,2024-03-20,Small
C00055,India,Healthcare,2023-02-24,Medium
C00056,Germany,Retail,2024-06-23,Medium
C00057,USA,Tech,2023-01-31,Small
C00058,Germany,Tech,2023-06-06,Small
C00059,USA,Finance,2022-07-06,Small
C00060,USA,Education,2023-10-07,Medium
C00061,Germany,Retail,2022-02-02,Medium
C00062,Canada,Tech,2022-03-10,Large
C00063,USA,Retail,2023-08-15,Large
C00064,USA,Healthcare,2022-07-10,Large
C00065,Germany,Healthcare,2022-04-11,Large
C00066,USA,Education,2023-04-30,Medium
C00067,USA,Tech,2022-10-12,Medium
C00068,Germany,Finance,2024-07-02,Medium
C00069,Germany,Tech,2024-01-03,Medium
C00070,India,Retail,2023-01-25,Small
C00071,Canada,Healthcare,2023-07-19,Large
C00072,Canada,Retail,2024-09-04,Medium
C00073,USA,Education,2022-06-09,Medium
C00074,Canada,Healthcare,2024-06-10,Large
C00075,USA,Finance,2023-07-08,Medium
C00076,India,Healthcare,2022-02-16,Small
C00077,Germany,Tech,2022-06-08,Medium
C00078,Germany,Tech,2023-03-22,Large
C00079,Germany,Healthcare,2023-11-27,Small
C00080,Canada,Education,2024-01-28,Small
C00081,India,Tech,2023-06-07,Large
C00082,Canada,Tech,2023-10-28,Large
C00083,Canada,Finance,2024-01-02,Small
C00084,India,Healthcare,2022-06-04,Medium
C00085,India,Tech,2022-12-05,Large
C00086,India,Education,2024-08-10,Small
C00087,India,Retail,2022-12-31,Large
C00088,Germany,Healthcare,2024-03-05,Medium
C00089,UK,Finance,2023-11-30,Medium
C00090,UK,Tech,2023-07-28,Small
C00091,India,Education,2022-05-28,Medium
C00092,UK,Healthcare,2024-06-17,Medium
C00093,UK,Education,2022-05-24,Medium
C00094,India,Education,2022-04-13,Large
C00095,UK,Finance,2024-03-22,Small
C00096,Canada,Healthcare,2022-04-03,Small
C00097,USA,Tech,2024-09-01,Small
C00098,USA,Finance,2022-10-13,Medium
C00099,India,Tech,2023-02-28,Large
C00100,Germany,Retail,2022-04-29,Small
C00101,India,Education,2024-08-18,Large
C00102,Germany,Retail,2022-01-29,Small
C00103,USA,Education,2023-05-26,Medium
C00104,India,Finance,2022-01-30,Small
C00105,Canada,Tech,2024-05-21,Small
C00106,UK,Tech,2023-01-01,Medium
C00107,Germany,Finance,2024-03-10,Medium
C00108,UK,Healthcare,2022-05-18,Small
C00109,UK,Retail,2023-04-20,Large
C00110,India,Retail,2023-07-17,Medium
C00111,UK,Tech,2023-01-27,Small
C00112,Canada,Tech,2023-03-11,Medium
C00113,UK,Tech,2024-03-14,Large
C00114,India,Finance,2022-08-22,Small
C00115,Canada,Healthcare,2022-02-24,Small
C00116,USA,Retail,2024-07-19,Large
C00117,UK,Education,2022-10-19,Large
C00118,India,Finance,2024-01-22,Small
C00119,USA,Retail,2022-11-08,Large
C00120,USA,Healthcare,2023-07-02,Large
C00121,Germany,Finance,2022-03-30,Small
C00122,Canada,Retail,2022-07-31,Medium
C00123,UK,Finance,2024-08-14,Large
C00124,India,Retail,2022-11-14,Medium
C00125,Germany,Retail,2024-05-26,Medium
C00126,Canada,Healthcare,2024-01-27,Medium
C00127,Germany,Education,2023-04-10,Large
C00128,Canada,Healthcare,2022-03-28,Small
C00129,Canada,Retail,2023-02-13,Small
C00130,UK,Finance,2022-08-28,Small
C00131,Canada,Healthcare,2024-04-11,Small
C00132,Germany,Education,2023-12-01,Small
C00133,Canada,Retail,2022-02-26,Small
C00134,UK,Healthcare,2022-04-23,Medium
C00135,UK,Healthcare,2024-01-05,Medium
C00136,Germany,Healthcare,2022-03-11,Medium
C00137,USA,Healthcare,2024-01-09,Large
C00138,USA,Finance,2024-02-07,Large
C00139,Canada,Education,2023-11-23,Large
C00140,India,Education,2022-07-03,Small
C00141,Canada,Retail,2023-12-04,Medium
C00142,Germany,Tech,2024-08-21,Large
C00143,Germany,Finance,2024-01-14,Medium
C00144,Germany,Retail,2022-10-03,Small
C00145,Germany,Retail,2022-08-21,Medium
C00146,Germany,Healthcare,2022-02-23,Small
C00147,UK,Tech,2022-09-14,Large
C00148,USA,Tech,2022-03-31,Small
C00149,Germany,Finance,2024-01-08,Small
C00150,India,Tech,2024-01-29,Medium
C00151,India,Retail,2024-06-24,Small
C00152,India,Tech,2023-10-25,Large
C00153,India,Tech,2023-03-11,Large
C00154,UK,Education,2023-09-17,Small
C00155,India,Retail,2023-02-12,Medium
C00156,Germany,Tech,2022-09-26,Large
C00157,Canada,Tech,2023-10-31,Large
C00158,India,Healthcare,2024-08-11,Small
C00159,UK,Tech,2023-01-01,Small
C00160,UK,Tech,2024-05-08,Large
C00161,India,Education,2022-12-17,Small
C00162,Canada,Retail,2022-10-26,Small
C00163,India,Finance,2024-06-24,Large
C00164,UK,Retail,2022-06-08,Medium
C00165,USA,Healthcare,2023-05-02,Medium
C00166,Germany,Retail,2024-04-21,Large
C00167,UK,Tech,2024-09-10,Small
C00168,India,Healthcare,2024-01-07,Large
C00169,Germany,Retail,2023-06-10,Large
C00170,India,Healthcare,2022-12-21,Small
C00171,India,Finance,2023-09-13,Medium
C00172,USA,Retail,2024-07-18,Medium
C00173,Germany,Tech,2023-02-05,Small
C00174,Germany,Healthcare,2023-02-09,Large
C00175,USA,Education,2022-04-06,Small
C00176,UK,Healthcare,2023-12-08,Large
C00177,India,Education,2023-07-24,Small
C00178,Canada,Tech,2024-09-01,Small
C00179,India,Finance,2023-01-27,Medium
C00180,India,Education,2022-12-18,Medium
C00181,UK,Finance,2024-03-16,Small
C00182,India,Healthcare,2023-10-28,Small
C00183,USA,Tech,2023-07-30,Medium
C00184,USA,Education,2023-11-01,Large
C00185,Germany,Healthcare,2024-02-16,Medium
C00186,Canada,Retail,2023-09-25,Large
C00187,India,Healthcare,2022-10-15,Medium
C00188,India,Finance,2023-06-07,Medium
C00189,UK,Tech,2023-12-27,Large
C00190,USA,Tech,2022-06-11,Small
C00191,Canada,Healthcare,2023-09-09,Medium
C00192,Germany,Retail,2024-07-02,Medium
C00193,USA,Finance,2023-10-21,Medium
C00194,Germany,Healthcare,2022-07-01,Small
C00195,UK,Healthcare,2024-04-29,Medium
C00196,UK,Tech,2023-07-03,Small
C00197,India,Finance,2022-03-23,Medium
C00198,Canada,Retail,2023-06-08,Large
C00199,Germany,Tech,2022-01-04,Medium
C00200,USA,Healthcare,2023-05-10,Medium
C00201,UK,Tech,2023-07-09,Small
C00202,India,Tech,2024-07-11,Small
C00203,India,Education,2022-02-20,Small
C00204,Germany,Tech,2022-09-18,Large
C00205,UK,Tech,2022-05-14,Large
C00206,Canada,Finance,2024-08-30,Small
C00207,UK,Tech,2023-08-22,Large
C00208,Germany,Retail,2022-12-28,Small
C00209,Germany,Healthcare,2023-07-22,Large
C00210,UK,Finance,2022-08-05,Small
C00211,Germany,Tech,2024-05-27,Small
C00212,UK,Retail,2022-03-09,Large
C00213,USA,Healthcare,2024-05-13,Medium
C00214,UK,Finance,2023-07-10,Small
C00215,UK,Retail,2022-05-23,Small
C00216,Germany,Tech,2022-12-12,Medium
C00217,Germany,Education,2023-07-08,Small
C00218,India,Education,2023-10-13,Small
C00219,India,Finance,2023-08-08,Large
C00220,USA,Retail,2024-02-18,Medium
C00221,India,Healthcare,2022-07-13,Small
C00222,UK,Retail,2023-10-29,Small
C00223,Germany,Education,2022-09-03,Medium
C00224,India,Finance,2022-11-10,Medium
C00225,India,Tech,2023-12-31,Large
C00226,USA,Retail,2024-08-25,Large
C00227,USA,Education,2023-01-19,Large
C00228,UK,Healthcare,2024-02-04,Small
C00229,Germany,Finance,2024-02-28,Medium
C00230,USA,Tech,2022-10-04,Large
C00231,India,Retail,2022-03-13,Medium
C00232,Germany,Healthcare,2022-05-09,Small
C00233,Germany,Tech,2022-12-24,Small
C00234,India,Education,2023-11-29,Medium
C00235,USA,Education,2023-06-09,Medium
C00236,India,Healthcare,2024-04-20,Large
C00237,Germany,Education,2022-08-08,Medium
C00238,Canada,Finance,2022-01-06,Large
C00239,Canada,Healthcare,2024-01-21,Medium
C00240,UK,Education,2024-09-09,Medium
C00241,India,Retail,2023-09-16,Medium
C00242,India,Education,2022-08-16,Small
C00243,UK,Finance,2024-08-11,Small
C00244,UK,Tech,2022-01-17,Small
C00245,UK,Tech,2023-08-08,Large
C00246,Germany,Education,2022-01-12,Large
C00247,India,Tech,2023-08-21,Small
C00248,Germany,Education,2023-05-14,Small
C00249,UK,Finance,2023-11-23,Medium
C00250,India,Tech,2023-09-26,Medium
C00251,Germany,Retail,2023-12-17,Large
C00252,Germany,Education,2023-05-17,Large
C00253,UK,Tech,2022-03-11,Medium
C00254,India,Finance,2022-04-18,Large
C00255,UK,Finance,2022-07-20,Small
C00256,India,Retail,2022-02-21,Medium
C00257,Canada,Finance,2023-07-03,Medium
C00258,USA,Finance,2023-09-21,Large
C00259,USA,Tech,2022-09-16,Medium
C00260,USA,Education,2023-04-27,Medium
C00261,UK,Healthcare,2022-09-21,Small
C00262,Canada,Finance,2024-06-24,Medium
C00263,India,Finance,2022-10-30,Medium
C00264,Germany,Healthcare,2024-07-25,Medium
C00265,India,Finance,2023-07-30,Medium
C00266,Germany,Tech,2023-07-08,Small
C00267,India,Tech,2023-07-09,Medium
C00268,Canada,Healthcare,2022-05-05,Small
C00269,Germany,Finance,2024-06-23,Small
C00270,UK,Finance,2022-09-27,Small
C00271,India,Education,2024-09-23,Large
C00272,India,Finance,2024-05-08,Large
C00273,Germany,Tech,2024-01-15,Medium
C00274,UK,Retail,2023-04-25,Small
C00275,UK,Retail,2022-05-12,Large
C00276,Canada,Retail,2022-01-02,Medium
C00277,UK,Retail,2022-04-25,Large
C00278,UK,Finance,2023-04-26,Small
C00279,UK,Finance,2024-09-07,Medium
C00280,USA,Education,2022-01-01,Small
C00281,Canada,Finance,2022-11-27,Small
C00282,India,Retail,2023-07-31,Large
C00283,Germany,Healthcare,2024-07-30,Medium
C00284,India,Healthcare,2024-08-12,Medium
C00285,Canada,Tech,2024-08-28,Medium
C00286,Germany,Tech,2023-09-29,Large
C00287,Canada,Finance,2024-02-07,Medium
C00288,UK,Healthcare,2023-01-26,Large
C00289,Germany,Retail,2024-04-13,Medium
C00290,UK,Retail,2022-05-23,Large
C00291,India,Retail,2022-11-24,Medium
C00292,India,Finance,2024-01-28,Large
C00293,Germany,Finance,2023-09-20,Small
C00294,Germany,Education,2023-01-12,Small
C00295,Canada,Retail,2024-03-25,Small
C00296,Canada,Retail,2022-03-31,Medium
C00297,UK,Finance,2024-03-18,Large
C00298,Germany,Finance,2022-02-11,Small
C00299,India,Education,2024-08-04,Medium
C00300,Canada,Education,2022-02-04,Large
C00301,Canada,Tech,2023-05-09,Small
C00302,India,Healthcare,2023-07-07,Small
C00303,Canada,Retail,2024-05-02,Medium
C00304,UK,Retail,2022-05-04,Large
C00305,Germany,Education,2022-02-26,Medium
C00306,India,Education,2024-03-16,Small
C00307,Germany,Tech,2023-04-01,Medium
C00308,Canada,Healthcare,2022-08-23,Medium
C00309,Canada,Tech,2023-08-31,Small
C00310,India,Healthcare,2023-01-27,Small
C00311,UK,Retail,2023-05-07,Large
C00312,USA,Tech,2024-08-27,Large
C00313,India,Education,2024-04-10,Small
C00314,USA,Tech,2022-12-09,Small
C00315,USA,Tech,2023-10-06,Large
C00316,UK,Retail,2022-06-25,Medium
C00317,USA,Education,2022-02-21,Small
C00318,USA,Education,2023-07-04,Small
C00319,UK,Finance,2023-04-23,Medium
C00320,USA,Finance,2023-05-04,Large
C00321,USA,Finance,2024-05-04,Large
C00322,USA,Retail,2022-01-05,Medium
C00323,India,Tech,2023-12-26,Small
C00324,India,Education,2023-09-24,Medium
C00325,India,Education,2024-04-17,Small
C00326,UK,Tech,2024-05-30,Large
C00327,Canada,Education,2022-07-28,Small
C00328,USA,Tech,2022-08-05,Small
C00329,USA,Retail,2023-06-20,Small
C00330,UK,Retail,2022-12-08,Small
C00331,USA,Retail,2023-12-18,Small
C00332,India,Tech,2023-02-05,Large
C00333,Canada,Tech,2023-04-07,Medium
C00334,Germany,Healthcare,2024-01-08,Large
C00335,USA,Education,2023-12-31,Small
C00336,India,Education,2022-07-30,Medium
C00337,Germany,Healthcare,2022-01-26,Small
C00338,Canada,Healthcare,2022-09-09,Large
C00339,Germany,Retail,2022-01-03,Large
C00340,India,Healthcare,2022-01-02,Small
C00341,Germany,Tech,2023-08-27,Small
C00342,UK,Finance,2022-01-02,Medium
C00343,Germany,Tech,2022-05-30,Medium
C00344,USA,Healthcare,2023-08-06,Small
C00345,USA,Education,2022-01-04,Medium
C00346,UK,Tech,2023-05-12,Small
C00347,India,Education,2023-07-04,Small
C00348,USA,Tech,2024-05-20,Small
C00349,Canada,Education,2023-04-13,Large
C00350,USA,Tech,2022-03-11,Small
C00351,USA,Education,2022-07-20,Small
C00352,India,Finance,2022-11-04,Small
C00353,Germany,Retail,2022-09-09,Medium
C00354,USA,Tech,2022-10-14,Small
C00355,UK,Finance,2024-07-10,Large
C00356,Germany,Retail,2022-10-19,Large
C00357,Canada,Tech,2022-06-03,Small
C00358,India,Finance,2024-07-12,Small
C00359,Canada,Finance,2022-05-13,Small
C00360,Germany,Finance,2024-06-01,Large
C00361,Germany,Healthcare,2023-08-09,Medium
C00362,Germany,Education,2022-10-01,Medium
C00363,Canada,Retail,2024-02-22,Small
C00364,Germany,Education,2023-11-28,Medium
C00365,Canada,Education,2023-05-24,Large
C00366,Germany,Education,2022-12-19,Small
C00367,UK,Finance,2022-01-05,Medium
C00368,Germany,Education,2022-10-20,Small
C00369,Canada,Healthcare,2022-12-26,Small
C00370,USA,Tech,2023-08-21,Large
C00371,Germany,Finance,2022-08-02,Large
C00372,USA,Retail,2023-02-10,Medium
C00373,UK,Tech,2023-03-12,Large
C00374,India,Tech,2022-01-15,Small
C00375,UK,Tech,2022-09-30,Large
C00376,Germany,Education,2023-07-17,Medium
C00377,USA,Education,2024-02-04,Medium
C00378,USA,Finance,2022-02-14,Medium
C00379,Canada,Education,2023-12-04,Large
C00380,USA,Education,2023-09-26,Large
C00381,Canada,Education,2023-02-16,Large
C00382,India,Finance,2022-07-06,Large
C00383,Germany,Finance,2023-12-27,Large
C00384,Canada,Healthcare,2023-10-23,Medium
C00385,India,Healthcare,2022-06-19,Medium
C00386,USA,Healthcare,2023-12-22,Large
C00387,USA,Healthcare,2024-08-22,Small
C00388,India,Tech,2023-08-17,Medium
C00389,USA,Tech,2023-02-05,Small
C00390,India,Healthcare,2023-12-09,Small
C00391,Canada,Healthcare,2022-09-03,Medium
C00392,Canada,Retail,2024-06-21,Small
C00393,India,Tech,2024-05-06,Small
C00394,Canada,Retail,2024-05-18,Medium
C00395,Canada,Retail,2023-07-06,Medium
C00396,Canada,Education,2023-11-11,Large
C00397,UK,Finance,2022-02-12,Medium
C00398,Germany,Tech,2024-04-20,Small
C00399,USA,Healthcare,2023-12-24,Medium
C00400,UK,Healthcare,2022-06-28,Large
C00401,Canada,Finance,2023-04-02,Medium
C00402,India,Tech,2023-06-19,Small
C00403,Canada,Healthcare,2023-08-30,Medium
C00404,Germany,Healthcare,2023-11-03,Small
C00405,Canada,Education,2022-09-01,Medium
C00406,India,Retail,2024-07-15,Large
C00407,Germany,Healthcare,2022-01-17,Large
C00408,Canada,Tech,2022-04-22,Medium
C00409,Germany,Finance,2023-09-07,Small
C00410,USA,Education,2024-04-05,Large
C00411,USA,Tech,2023-08-21,Small
C00412,Canada,Education,2023-07-01,Medium
C00413,Germany,Retail,2022-01-30,Large
C00414,India,Healthcare,2022-07-11,Large
C00415,Canada,Tech,2023-03-13,Small
C00416,USA,Finance,2022-06-28,Large
C00417,USA,Retail,2023-09-08,Small
C00418,Canada,Retail,2023-11-08,Small
C00419,Germany,Education,2023-04-19,Medium
C00420,USA,Retail,2023-09-26,Small
C00421,Germany,Tech,2022-05-14,Large
C00422,USA,Education,2024-03-12,Small
C00423,USA,Retail,2022-11-08,Large
C00424,UK,Finance,2024-01-06,Small
C00425,USA,Tech,2022-01-25,Medium
C00426,India,Finance,2023-01-06,Medium
C00427,Canada,Finance,2023-06-09,Small
C00428,Canada,Education,2022-11-15,Small
C00429,Germany,Healthcare,2022-08-18,Small
C00430,USA,Education,2022-04-12,Medium
C00431,India,Tech,2023-03-26,Small
C00432,Germany,Tech,2023-01-13,Small
C00433,UK,Education,2024-06-06,Large
C00434,Germany,Healthcare,2024-06-19,Medium
C00435,Germany,Education,2022-07-22,Medium
C00436,USA,Tech,2022-09-24,Small
C00437,UK,Healthcare,2024-09-10,Small
C00438,Germany,Tech,2023-04-07,Large
C00439,India,Healthcare,2022-12-31,Small
C00440,India,Healthcare,2024-01-04,Medium
C00441,Canada,Education,2022-04-14,Large
C00442,UK,Education,2022-04-21,Medium
C00443,UK,Education,2023-03-04,Small
C00444,Canada,Healthcare,2024-09-21,Large
C00445,Germany,Healthcare,2023-04-14,Medium
C00446,UK,Tech,2023-08-04,Medium
C00447,India,Finance,2024-05-19,Medium
C00448,India,Education,2024-02-09,Small
C00449,USA,Tech,2023-11-11,Small
C00450,UK,Tech,2024-03-15,Small
C00451,Germany,Retail,2024-06-04,Small
C00452,Canada,Education,2023-07-15,Medium
C00453,Canada,Tech,2022-09-07,Large
C00454,Germany,Retail,2023-04-27,Small
C00455,USA,Education,2022-11-27,Large
C00456,Canada,Healthcare,2024-07-20,Medium
C00457,UK,Retail,2023-08-10,Small
C00458,USA,Healthcare,2022-07-20,Medium
C00459,UK,Finance,2023-03-30,Small
C00460,India,Finance,2023-05-19,Small
C00461,USA,Finance,2023-06-30,Large
C00462,Canada,Finance,2024-04-05,Medium
C00463,USA,Tech,2022-04-21,Medium
C00464,USA,Finance,2024-07-21,Medium
C00465,USA,Tech,2024-05-13,Large
C00466,USA,Tech,2024-04-07,Large
C00467,UK,Education,2024-06-26,Medium
C00468,India,Tech,2024-01-19,Medium
C00469,Germany,Tech,2023-06-28,Small
C00470,USA,Finance,2022-07-28,Small
C00471,Canada,Tech,2023-10-06,Large
C00472,USA,Healthcare,2023-09-10,Small
C00473,Canada,Finance,2022-02-02,Medium
C00474,UK,Retail,2023-07-09,Medium
C00475,Canada,Finance,2024-05-29,Small
C00476,Germany,Tech,2022-04-17,Small
C00477,India,Healthcare,2022-09-22,Large
C00478,Canada,Finance,2022-08-14,Small
C00479,Canada,Healthcare,2023-05-02,Large
C00480,India,Retail,2022-06-28,Small
C00481,Germany,Retail,2022-08-10,Small
C00482,USA,Education,2023-01-05,Small
C00483,Canada,Education,2023-09-29,Small
C00484,India,Finance,2024-02-27,Medium
C00485,UK,Education,2022-06-16,Medium
C00486,India,Healthcare,2023-10-25,Medium
C00487,UK,Education,2023-07-07,Small
C00488,Germany,Healthcare,2022-10-27,Large
C00489,USA,Education,2023-01-16,Small
C00490,India,Education,2022-02-04,Medium
C00491,Canada,Education,2023-02-11,Large
C00492,Germany,Tech,2023-05-17,Large
C00493,India,Tech,2022-11-10,Medium
C00494,Canada,Education,2024-03-26,Small
C00495,India,Healthcare,2024-01-13,Large
C00496,UK,Finance,2023-12-28,Large
C00497,India,Retail,2024-04-05,Medium
C00498,India,Tech,2022-04-11,Large
C00499,India,Education,2023-07-23,Large
C00500,Germany,Retail,2022-08-03,Large
C00501,India,Tech,2024-07-23,Small
C00502,Canada,Finance,2023-10-30,Small
C00503,UK,Healthcare,2023-07-30,Medium
C00504,UK,Education,2022-03-03,Small
C00505,India,Finance,2024-04-30,Large
C00506,Germany,Tech,2023-01-04,Small
C00507,Germany,Education,2023-01-03,Large
C00508,Canada,Retail,2023-07-28,Large
C00509,India,Healthcare,2022-04-04,Small
C00510,UK,Tech,2023-04-14,Small
C00511,Germany,Healthcare,2024-09-10,Small
C00512,India,Education,2024-05-02,Small
C00513,Germany,Finance,2022-01-26,Medium
C00514,Germany,Healthcare,2023-03-11,Small
C00515,UK,Retail,2022-05-01,Medium
C00516,USA,Tech,2022-02-19,Large
C00517,Canada,Retail,2024-06-01,Medium
C00518,Canada,Healthcare,2024-02-03,Large
C00519,UK,Finance,2022-02-05,Medium
C00520,Germany,Finance,2023-02-14,Medium
C00521,India,Retail,2022-10-16,Large
C00522,Germany,Education,2023-01-14,Medium
C00523,UK,Education,2022-04-10,Large
C00524,Canada,Finance,2022-11-20,Small
C00525,Germany,Retail,2022-11-25,Large
C00526,Canada,Retail,2023-10-10,Medium
C00527,India,Retail,2023-12-07,Small
C00528,Canada,Healthcare,2022-08-09,Medium
C00529,Canada,Education,2024-03-01,Small
C00530,USA,Education,2024-04-17,Large
C00531,USA,Healthcare,2023-07-21,Small
C00532,USA,Tech,2024-07-27,Small
C00533,Canada,Healthcare,2024-09-22,Small
C00534,UK,Retail,2022-04-20,Medium
C00535,Canada,Healthcare,2022-05-29,Small
C00536,UK,Retail,2023-02-10,Large
C00537,UK,Finance,2024-02-16,Large
C00538,USA,Retail,2023-11-05,Large
C00539,Germany,Education,2023-11-30,Small
C00540,India,Healthcare,2023-02-14,Large
C00541,USA,Retail,2022-05-09,Medium
C00542,USA,Tech,2023-04-29,Large
C00543,Germany,Finance,2022-04-18,Small
C00544,India,Tech,2023-01-24,Large
C00545,Canada,Tech,2023-03-01,Small
C00546,Canada,Tech,2023-03-23,Small
C00547,USA,Finance,2024-07-06,Large
C00548,India,Finance,2022-03-09,Medium
C00549,USA,Finance,2024-08-01,Medium
C00550,UK,Finance,2022-03-07,Large
C00551,USA,Tech,2023-10-18,Small
C00552,USA,Education,2024-09-02,Large
C00553,Canada,Education,2023-07-19,Small
C00554,Canada,Finance,2023-10-02,Small
C00555,Canada,Healthcare,2023-05-19,Small
C00556,UK,Retail,2023-05-19,Medium
C00557,Canada,Healthcare,2024-09-08,Medium
C00558,India,Healthcare,2022-11-17,Large
C00559,Germany,Healthcare,2023-12-20,Medium
C00560,India,Education,2024-04-11,Small
C00561,India,Retail,2023-12-29,Small
C00562,Canada,Healthcare,2023-08-03,Large
C00563,Germany,Finance,2023-03-23,Small
C00564,Germany,Education,2023-07-28,Large
C00565,Germany,Finance,2022-07-29,Large
C00566,UK,Finance,2024-04-28,Small
C00567,Canada,Healthcare,2024-04-18,Medium
C00568,Germany,Finance,2023-01-05,Small
C00569,UK,Retail,2024-07-29,Small
C00570,USA,Finance,2023-07-18,Large
C00571,USA,Healthcare,2023-09-20,Medium
C00572,UK,Finance,2024-06-11,Large
C00573,UK,Education,2023-04-03,Small
C00574,Canada,Education,2024-06-13,Large
C00575,Canada,Education,2023-07-31,Large
C00576,USA,Tech,2023-10-04,Small
C00577,Germany,Education,2023-11-20,Large
C00578,USA,Education,2024-02-29,Small
C00579,Germany,Tech,2024-09-18,Large
C00580,Germany,Education,2024-07-13,Medium
C00581,Canada,Healthcare,2022-06-12,Small
C00582,India,Education,2024-09-03,Medium
C00583,India,Education,2022-11-28,Large
C00584,UK,Tech,2023-10-26,Medium
C00585,Canada,Healthcare,2022-12-16,Medium
C00586,Germany,Finance,2024-01-18,Medium
C00587,India,Retail,2023-11-01,Large
C00588,Germany,Healthcare,2023-04-13,Small
C00589,India,Finance,2023-03-02,Large
C00590,India,Healthcare,2022-11-23,Large
C00591,India,Finance,2022-04-16,Large
C00592,Canada,Finance,2024-03-28,Small
C00593,USA,Healthcare,2022-09-12,Large
C00594,Germany,Tech,2022-12-24,Large
C00595,Canada,Healthcare,2024-08-24,Small
C00596,Canada,Healthcare,2023-03-20,Small
C00597,Canada,Finance,2022-04-23,Small
C00598,Canada,Retail,2022-01-30,Medium
C00599,Canada,Finance,2023-06-08,Small
C00600,UK,Education,2023-11-20,Medium
C00601,Germany,Healthcare,2024-09-17,Medium
C00602,Canada,Healthcare,2024-04-29,Large
C00603,Germany,Tech,2022-02-15,Medium
C00604,UK,Finance,2022-06-20,Large
C00605,UK,Tech,2022-05-10,Medium
C00606,Germany,Healthcare,2024-01-27,Small
C00607,India,Finance,2022-12-19,Large
C00608,USA,Finance,2022-07-22,Medium
C00609,India,Education,2022-08-14,Large
C00610,India,Education,2022-03-21,Small
C00611,India,Retail,2022-11-06,Medium
C00612,Canada,Education,2022-02-04,Medium
C00613,UK,Finance,2023-07-18,Small
C00614,India,Education,2022-06-10,Medium
C00615,UK,Retail,2024-09-07,Medium
C00616,Germany,Healthcare,2023-08-19,Large
C00617,USA,Education,2024-04-19,Medium
C00618,Germany,Finance,2023-03-11,Small
C00619,Germany,Healthcare,2023-06-22,Medium
C00620,Canada,Finance,2022-08-13,Large
C00621,USA,Healthcare,2023-03-22,Medium
C00622,Germany,Finance,2022-11-13,Large
C00623,Germany,Education,2023-10-28,Medium
C00624,USA,Education,2024-03-15,Large
C00625,USA,Retail,2023-02-18,Large
C00626,Germany,Healthcare,2022-04-05,Medium
C00627,USA,Retail,2022-08-13,Small
C00628,Germany,Tech,2024-02-18,Small
C00629,Germany,Education,2024-08-06,Medium
C00630,Canada,Healthcare,2023-07-07,Medium
C00631,India,Retail,2023-10-07,Medium
C00632,Germany,Retail,2022-03-07,Medium
C00633,UK,Tech,2023-02-01,Medium
C00634,India,Retail,2024-08-16,Small
C00635,India,Finance,2022-07-29,Large
C00636,India,Education,2023-04-19,Large
C00637,Canada,Retail,2023-10-27,Small
C00638,Germany,Retail,2023-11-15,Small
C00639,Canada,Tech,2024-06-28,Large
C00640,Germany,Finance,2024-04-16,Small
C00641,Canada,Retail,2023-07-25,Medium
